id,Lat,Long
2178,-10.89216252,142.5669516
2462,-11.14216252,142.3169516
2463,-11.14216252,142.5669516
2747,-11.39216252,142.3169516
2748,-11.39216252,142.5669516
2994,-11.64216252,132.8169516
3031,-11.64216252,142.0669516
3032,-11.64216252,142.3169516
3033,-11.64216252,142.5669516
3034,-11.64216252,142.8169516
3279,-11.89216252,132.8169516
3280,-11.89216252,133.0669516
3281,-11.89216252,133.3169516
3282,-11.89216252,133.5669516
3283,-11.89216252,133.8169516
3316,-11.89216252,142.0669516
3317,-11.89216252,142.3169516
3318,-11.89216252,142.5669516
3319,-11.89216252,142.8169516
3563,-12.14216252,132.5669516
3564,-12.14216252,132.8169516
3565,-12.14216252,133.0669516
3566,-12.14216252,133.3169516
3567,-12.14216252,133.5669516
3568,-12.14216252,133.8169516
3569,-12.14216252,134.0669516
3570,-12.14216252,134.3169516
3571,-12.14216252,134.5669516
3575,-12.14216252,135.5669516
3601,-12.14216252,142.0669516
3602,-12.14216252,142.3169516
3603,-12.14216252,142.5669516
3842,-12.39216252,131.0669516
3843,-12.39216252,131.3169516
3844,-12.39216252,131.5669516
3845,-12.39216252,131.8169516
3846,-12.39216252,132.0669516
3847,-12.39216252,132.3169516
3848,-12.39216252,132.5669516
3849,-12.39216252,132.8169516
3850,-12.39216252,133.0669516
3851,-12.39216252,133.3169516
3852,-12.39216252,133.5669516
3853,-12.39216252,133.8169516
3854,-12.39216252,134.0669516
3855,-12.39216252,134.3169516
3856,-12.39216252,134.5669516
3857,-12.39216252,134.8169516
3858,-12.39216252,135.0669516
3859,-12.39216252,135.3169516
3860,-12.39216252,135.5669516
3861,-12.39216252,135.8169516
3863,-12.39216252,136.3169516
3864,-12.39216252,136.5669516
3885,-12.39216252,141.8169516
3886,-12.39216252,142.0669516
3887,-12.39216252,142.3169516
3888,-12.39216252,142.5669516
3889,-12.39216252,142.8169516
3890,-12.39216252,143.0669516
4127,-12.64216252,131.0669516
4128,-12.64216252,131.3169516
4129,-12.64216252,131.5669516
4130,-12.64216252,131.8169516
4131,-12.64216252,132.0669516
4132,-12.64216252,132.3169516
4133,-12.64216252,132.5669516
4134,-12.64216252,132.8169516
4135,-12.64216252,133.0669516
4136,-12.64216252,133.3169516
4137,-12.64216252,133.5669516
4138,-12.64216252,133.8169516
4139,-12.64216252,134.0669516
4140,-12.64216252,134.3169516
4141,-12.64216252,134.5669516
4142,-12.64216252,134.8169516
4143,-12.64216252,135.0669516
4144,-12.64216252,135.3169516
4145,-12.64216252,135.5669516
4146,-12.64216252,135.8169516
4147,-12.64216252,136.0669516
4148,-12.64216252,136.3169516
4149,-12.64216252,136.5669516
4171,-12.64216252,142.0669516
4172,-12.64216252,142.3169516
4173,-12.64216252,142.5669516
4174,-12.64216252,142.8169516
4175,-12.64216252,143.0669516
4176,-12.64216252,143.3169516
4410,-12.89216252,130.5669516
4411,-12.89216252,130.8169516
4412,-12.89216252,131.0669516
4413,-12.89216252,131.3169516
4414,-12.89216252,131.5669516
4415,-12.89216252,131.8169516
4416,-12.89216252,132.0669516
4417,-12.89216252,132.3169516
4418,-12.89216252,132.5669516
4419,-12.89216252,132.8169516
4420,-12.89216252,133.0669516
4421,-12.89216252,133.3169516
4422,-12.89216252,133.5669516
4423,-12.89216252,133.8169516
4424,-12.89216252,134.0669516
4425,-12.89216252,134.3169516
4426,-12.89216252,134.5669516
4427,-12.89216252,134.8169516
4428,-12.89216252,135.0669516
4429,-12.89216252,135.3169516
4430,-12.89216252,135.5669516
4431,-12.89216252,135.8169516
4432,-12.89216252,136.0669516
4433,-12.89216252,136.3169516
4455,-12.89216252,141.8169516
4456,-12.89216252,142.0669516
4457,-12.89216252,142.3169516
4458,-12.89216252,142.5669516
4459,-12.89216252,142.8169516
4460,-12.89216252,143.0669516
4461,-12.89216252,143.3169516
4694,-13.14216252,130.3169516
4695,-13.14216252,130.5669516
